                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97081,                0.85176,                 1.1025,                0.80831,                0.56808,                0.62456,                0.32734,                 1.6344,                0.95189,                 1.5107,             0.00055849,             0.00055849,             0.00055849
                     35,                0.95903,                0.84449,                 1.0973,                0.83601,                0.59899,                0.65173,                0.33603,                 1.6064,                0.96756,                 1.4822,             0.00055378,             0.00055378,             0.00055378
                     36,                0.95423,                0.82918,                 1.0986,                0.80806,                0.58352,                0.63917,                0.34083,                 1.5687,                0.96577,                 1.4566,             0.00054907,             0.00054907,             0.00054907
                     37,                 0.9446,                0.81994,                 1.0936,                0.78878,                0.58645,                0.64239,                0.34119,                 1.5734,                0.93791,                 1.4765,             0.00054435,             0.00054435,             0.00054435
                     38,                0.94852,                 0.8236,                 1.0895,                0.87997,                0.54344,                0.63143,                 0.3307,                 1.6126,                0.93224,                 1.4914,             0.00053964,             0.00053964,             0.00053964
                     39,                0.93958,                0.81589,                 1.0881,                0.83646,                0.56526,                0.64194,                0.35063,                 1.5588,                 0.9315,                 1.4376,             0.00053493,             0.00053493,             0.00053493
                     40,                0.93963,                 0.8075,                  1.083,                0.83533,                0.58242,                0.64645,                0.34811,                 1.5565,                0.92402,                 1.4608,             0.00053022,             0.00053022,             0.00053022
                     41,                0.93795,                0.80101,                 1.0787,                0.84433,                0.58535,                0.65142,                0.34179,                  1.588,                0.93757,                 1.4921,              0.0005255,              0.0005255,              0.0005255
                     42,                0.92696,                0.80067,                 1.0825,                0.82282,                0.58443,                0.64674,                0.35968,                 1.5145,                0.90074,                  1.428,             0.00052079,             0.00052079,             0.00052079
                     43,                0.92841,                0.79673,                 1.0798,                 0.7906,                0.58062,                0.63375,                0.33935,                 1.5654,                0.92084,                 1.4746,             0.00051608,             0.00051608,             0.00051608
                     44,                0.92415,                0.78461,                 1.0771,                0.75012,                0.59869,                0.64471,                0.34897,                 1.5726,                0.89027,                 1.4656,             0.00051137,             0.00051137,             0.00051137
                     45,                 0.9221,                0.78504,                 1.0738,                 0.8395,                0.60998,                0.65937,                0.35378,                 1.5674,                0.86579,                 1.4945,             0.00050665,             0.00050665,             0.00050665
                     46,                0.91855,                0.78082,                 1.0718,                0.86264,                0.57982,                0.65304,                0.34115,                 1.6053,                 0.8896,                 1.5067,             0.00050194,             0.00050194,             0.00050194
                     47,                0.91596,                0.77227,                  1.072,                0.80507,                0.59988,                0.64398,                0.35303,                 1.5283,                0.87876,                 1.4435,             0.00049723,             0.00049723,             0.00049723
                     48,                0.90929,                0.76744,                 1.0657,                0.86868,                0.59128,                 0.6647,                 0.3577,                 1.5598,                0.88399,                   1.46,             0.00049252,             0.00049252,             0.00049252
                     49,                0.90711,                0.76634,                 1.0669,                0.80108,                0.60059,                0.66159,                0.35704,                 1.5524,                0.87761,                 1.4593,              0.0004878,              0.0004878,              0.0004878
                     50,                0.90461,                0.76529,                 1.0657,                0.82742,                0.59842,                0.65055,                0.37654,                  1.466,                0.86874,                 1.4069,             0.00048309,             0.00048309,             0.00048309
                     51,                 0.9089,                0.77292,                 1.0699,                0.85315,                0.58841,                 0.6662,                0.37617,                 1.4509,                0.84928,                 1.3813,             0.00047838,             0.00047838,             0.00047838
                     52,                0.89394,                 0.7505,                 1.0634,                0.81459,                0.60271,                0.65736,                0.38032,                  1.406,                0.83079,                 1.3881,             0.00047367,             0.00047367,             0.00047367
                     53,                0.89351,                0.75075,                 1.0608,                0.84744,                0.60299,                0.66167,                0.34642,                 1.6035,                0.86738,                 1.4943,             0.00046896,             0.00046896,             0.00046896
