                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.71134,                0.54447,                0.97499,                0.87986,                0.65095,                0.71163,                0.43919,                 1.2742,                0.67936,                 1.2861,             6.8401e-05,             6.8401e-05,             6.8401e-05
                    139,                0.70919,                0.54465,                0.97516,                0.87497,                0.65694,                0.71182,                0.44158,                 1.2619,                0.67893,                 1.2826,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    140,                0.69428,                0.47607,                0.96546,                0.86982,                0.64926,                0.70256,                0.42834,                 1.2846,                0.70354,                 1.2964,             5.8976e-05,             5.8976e-05,             5.8976e-05
                    141,                0.68219,                0.45736,                0.95768,                0.90272,                0.64322,                0.70699,                0.42595,                 1.2938,                0.69401,                  1.302,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    142,                0.67851,                0.45471,                0.95666,                0.87466,                0.65455,                0.70867,                0.42774,                 1.2865,                0.68003,                 1.3008,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    143,                0.67798,                0.44931,                0.95694,                0.88209,                0.65119,                0.70614,                0.43104,                 1.2744,                0.67686,                  1.289,             4.4839e-05,             4.4839e-05,             4.4839e-05
                    144,                 0.6692,                0.44609,                0.95252,                  0.916,                0.63593,                0.70853,                0.43373,                 1.2673,                 0.6766,                 1.2863,             4.0127e-05,             4.0127e-05,             4.0127e-05
                    145,                0.66605,                0.44301,                0.94955,                0.89809,                0.63938,                0.70969,                0.43448,                 1.2693,                0.67432,                  1.287,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    146,                 0.6634,                0.43971,                0.94822,                0.89141,                 0.6461,                0.71235,                0.43224,                 1.2737,                0.67094,                 1.2943,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    147,                0.65711,                0.43825,                0.94626,                0.88995,                0.64385,                0.71044,                0.43293,                 1.2726,                0.67101,                 1.2941,              2.599e-05,              2.599e-05,              2.599e-05
                    148,                0.65984,                0.43832,                0.95117,                0.90522,                0.64029,                0.70982,                 0.4329,                 1.2771,                0.67361,                 1.2964,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    149,                0.65797,                0.43747,                0.94602,                0.90228,                0.63959,                0.70933,                0.43554,                 1.2735,                0.67605,                  1.293,             1.6565e-05,             1.6565e-05,             1.6565e-05
